nome,trabalho,renda_mensal,renda_anual,data_nascimento,idade,score_credito,possui_historico_inadimplencia,tempo_emprego_atual,valor_solicitado,prazo_pagamento,possui_outros_emprestimos,valor_outros_emprestimos,credito_aprovado,valor_aprovado
Augusto Vasconcelos,Funcionário Público,16924.19,204170.16,18/02/1965,60,743,Não,27.2,55704.20514301756,60,Não,0.0,Sim,55704.21
Benjamin Rodrigues,Empresário/Autônomo,14416.91,191152.19,21/11/2006,18,590,Não,0.0,31074.041660159153,18,Não,0.0,Sim,27500.53
Diogo Montenegro,Empresário/Autônomo,27398.26,319928.54,13/08/1946,78,577,Não,24.0,26796.148504295183,48,Sim,113919.46647440403,Não,0.0
Eduardo Cassiano,Empresário/Autônomo,9098.62,109829.62,25/11/1949,75,670,Não,6.7,35715.21445161351,60,Não,0.0,Sim,35715.21
Jade Camargo,Funcionário de Empresa Privada,6274.56,81623.54,30/07/2000,24,619,Não,6.0,21851.78862876474,24,Não,0.0,Sim,20289.39
Théo Leão,Empresário/Autônomo,19795.82,246572.27,18/07/1946,78,757,Não,1.2,92633.74766103263,6,Não,0.0,Sim,92633.75
Paulo Novais,Empresário/Autônomo,19368.75,239349.63,03/03/1971,54,501,Não,8.0,42352.92657099391,12,Não,0.0,Sim,31828.22
Amanda Rezende,Funcionário de Empresa Privada,16933.87,229129.15,24/01/1969,56,536,Não,3.3,55654.38833739917,48,Sim,21612.970041946337,Sim,44746.13
Evelyn Rodrigues,Profissional Liberal,16796.7,225296.64,21/10/1957,67,703,Não,25.9,70469.58660947628,12,Sim,49177.33620735925,Não,0.0
Camila da Cunha,Aposentado/Pensionista,6098.24,74642.43,07/04/1957,68,554,Não,25.7,3523.7612461168665,12,Não,0.0,Sim,2928.25
Antônio Fonseca,Empresário/Autônomo,23502.0,315278.34,23/12/1956,68,642,Não,36.8,25617.90188710236,6,Não,0.0,Sim,24670.04
Kamilly Aragão,Funcionário de Empresa Privada,9734.13,136086.56,17/02/1962,63,608,Não,29.7,35284.13844203311,24,Não,0.0,Sim,32179.13
Joaquim Cavalcante,Funcionário Público,9160.96,111707.94,28/04/2001,24,417,Não,6.0,45330.24418855631,18,Não,0.0,Não,0.0
Yasmin Teixeira,Desempregado,479.37,6454.51,26/03/1964,61,601,Não,37.7,1088.5969291385923,24,Não,0.0,Sim,981.37
Yan Dias,Profissional Liberal,23916.41,319818.76,14/12/1945,79,645,Sim,32.0,5421.471964112558,6,Sim,81693.26765561035,Sim,5245.27
Murilo Cassiano,Funcionário de Empresa Privada,13244.32,175036.57,22/06/1983,41,374,Não,2.9,79506.3625664888,36,Não,0.0,Não,0.0
Sra. Sara Pires,Profissional Liberal,20493.46,268012.49,07/06/1986,38,537,Não,20.0,50726.88471564132,60,Não,0.0,Sim,40860.51
Gustavo Henrique Brito,Profissional Liberal,25727.63,313913.01,09/06/1970,54,341,Sim,25.7,52913.27576114562,12,Não,0.0,Não,0.0
Ana Laura Guerra,Profissional Liberal,24830.9,308132.24,10/05/1970,55,587,Sim,22.9,70606.17288153897,24,Não,0.0,Sim,62168.74
Cauê Costa,Aposentado/Pensionista,5377.71,67648.14,10/05/1959,66,690,Não,38.9,19643.522082574807,6,Não,0.0,Sim,19643.52
Dra. Mariah Campos,Estudante,1013.9,13686.47,13/05/1973,52,474,Sim,11.5,2704.45012606671,18,Não,0.0,Não,0.0
Matteo Silva,Empresário/Autônomo,2142.78,28722.99,17/11/2002,22,603,Não,4.0,14007.850471836628,48,Não,0.0,Sim,12670.1
Sr. Henry Gabriel da Cunha,Funcionário de Empresa Privada,9457.02,110757.99,20/09/1953,71,495,Não,39.3,38927.66369891159,12,Não,0.0,Não,0.0
Yuri Ferreira,Funcionário de Empresa Privada,15759.61,188200.61,26/05/1953,72,540,Não,10.6,23579.064797690193,24,Não,0.0,Sim,19099.04
Melissa Rezende,Empresário/Autônomo,5689.72,77185.56,27/03/1983,42,546,Sim,18.3,21978.495009563903,60,Sim,19909.01105153305,Não,0.0
Allana Cardoso,Funcionário Público,12078.1,149420.79,11/10/1972,52,486,Não,26.7,37166.942752238254,36,Não,0.0,Não,0.0
Gael Henrique Rezende,Funcionário de Empresa Privada,6668.44,80578.93,19/06/1991,33,596,Não,15.0,23648.33095145953,36,Não,0.0,Sim,21141.61
Vinicius Brito,Funcionário de Empresa Privada,6816.57,83479.15,31/10/1986,38,755,Não,14.7,19114.67734226719,6,Não,0.0,Sim,19114.68
Emanuella Jesus,Profissional Liberal,12757.02,157057.07,29/12/1967,57,581,Não,3.5,63205.70598208495,24,Não,0.0,Sim,55083.77
João Gabriel Moura,Empresário/Autônomo,28287.19,330218.68,10/05/1983,42,300,Sim,12.3,13465.203988042902,36,Sim,171191.24694256985,Não,0.0
Enzo Gabriel da Paz,Funcionário de Empresa Privada,13789.28,172961.51,01/04/1951,74,815,Não,31.1,72346.6427539442,48,Não,0.0,Sim,72346.64
Yuri Aragão,Funcionário Público,11291.96,144021.81,19/03/2004,21,697,Não,3.0,47907.37498858818,12,Sim,72813.93032103147,Não,0.0
Caio Lima,Funcionário de Empresa Privada,6385.67,78305.7,07/01/2006,19,457,Não,1.0,11084.535817447533,48,Não,0.0,Não,0.0
Matteo Sá,Funcionário de Empresa Privada,4713.9,54780.83,10/09/2001,23,403,Não,5.0,17452.382388214635,60,Sim,12644.791577280688,Não,0.0
Bianca Nascimento,Aposentado/Pensionista,8889.11,104540.48,20/09/1947,77,481,Sim,30.7,29108.085215853578,36,Não,0.0,Não,0.0
Dra. Valentina Viana,Funcionário de Empresa Privada,12761.55,153880.14,26/09/1965,59,679,Não,37.5,6405.955077256173,18,Não,0.0,Sim,6405.96
Evelyn Melo,Funcionário Público,10786.56,144355.66,06/02/1987,38,505,Sim,20.0,31778.019513037067,6,Sim,98352.8907666804,Não,0.0
Vitor Hugo Barros,Empresário/Autônomo,30821.45,375327.99,29/12/1950,74,623,Não,27.3,34609.38963000554,6,Não,0.0,Sim,32342.47
Dr. Kaique Teixeira,Aposentado/Pensionista,4976.63,68833.62,21/03/1946,79,638,Não,37.0,25531.571347328678,18,Sim,24132.01578967868,Não,0.0
Kamilly Abreu,Funcionário de Empresa Privada,5316.2,65263.21,31/08/1995,29,712,Não,11.0,29321.240155001633,24,Não,0.0,Sim,29321.24
Alice Azevedo,Empresário/Autônomo,5641.29,68288.72,25/10/1984,40,577,Não,22.0,26903.09595970992,36,Não,0.0,Sim,23284.63
Srta. Sophie Fonseca,Funcionário de Empresa Privada,13287.59,178506.51,09/05/1972,53,673,Não,34.0,48988.1137924296,12,Não,0.0,Sim,48988.11
Kevin Almeida,Outros,1429.34,19643.07,26/11/1982,42,397,Sim,23.9,4082.878099460295,6,Não,0.0,Não,0.0
Dr. Guilherme Aparecida,Funcionário de Empresa Privada,10661.01,130872.1,04/07/1979,45,440,Sim,5.8,9270.513436328827,12,Não,0.0,Não,0.0
Sr. Arthur Miguel Montenegro,Empresário/Autônomo,7303.2,87971.58,27/10/1999,25,669,Não,7.0,19140.356548841257,36,Não,0.0,Sim,19140.36
Marcela Nogueira,Funcionário de Empresa Privada,8861.99,117369.75,07/08/1991,33,840,Não,15.0,2926.533206077782,18,Não,0.0,Sim,2926.53
Léo Ferreira,Funcionário de Empresa Privada,8189.14,113934.56,17/05/1958,67,839,Não,38.6,7346.392340646344,18,Sim,33120.474391183,Não,0.0
Nicole Mendes,Funcionário de Empresa Privada,9563.34,130583.19,06/10/2005,19,614,Não,1.0,13292.572836760974,18,Não,0.0,Sim,12242.46
Dra. Luiza Borges,Funcionário Público,2945.22,36693.95,27/12/1990,34,796,Não,6.7,7190.343412741177,6,Não,0.0,Sim,7190.34
Juan Gomes,Funcionário Público,12237.29,142481.3,06/01/1991,34,385,Sim,14.0,24414.435343518875,36,Sim,99858.74208197749,Não,0.0
Ana Silva,Funcionário Público,6196.91,72043.06,25/12/1984,40,429,Não,22.0,21143.201000086025,6,Não,0.0,Não,0.0
Hadassa Correia,Funcionário de Empresa Privada,11482.34,149173.71,24/10/1944,80,581,Não,17.9,61117.5199063626,18,Sim,27411.633832239124,Não,0.0
Sra. Bella Pires,Empresário/Autônomo,3994.98,51222.72,09/04/1966,59,591,Não,29.5,10662.911445299093,18,Sim,19380.18224514758,Não,0.0
Vitor da Conceição,Funcionário de Empresa Privada,7623.8,87858.62,09/09/1966,58,478,Não,17.2,38071.983118319615,36,Não,0.0,Não,0.0
Bruna Novais,Outros,4481.51,51657.21,29/01/1946,79,480,Não,1.1,20623.596510010742,60,Não,0.0,Não,0.0
Pedro Cirino,Desempregado,38.0,447.99,09/04/1994,31,532,Não,13.0,459.05793376163314,48,Não,0.0,Sim,273.6
Srta. Ana Julia Souza,Desempregado,79.8,1068.2,28/12/1998,26,371,Não,0.9,501.70329378552526,18,Não,0.0,Não,0.0
Clarice da Mata,Funcionário de Empresa Privada,2029.4,24128.13,23/01/1997,28,498,Não,9.1,2292.2015149003364,18,Sim,2558.0866436050005,Não,0.0
Clarice Casa Grande,Funcionário de Empresa Privada,4963.57,67732.69,08/09/1974,50,626,Não,29.5,29445.36445922936,60,Não,0.0,Sim,27649.2
Maitê Souza,Funcionário de Empresa Privada,2805.04,38474.24,22/07/1999,25,387,Sim,7.0,4837.668026859514,48,Não,0.0,Não,0.0
Ravy Marques,Empresário/Autônomo,8557.67,104453.32,24/01/1997,28,581,Não,3.2,33682.84467119272,24,Não,0.0,Sim,29354.6
Allana Moura,Funcionário de Empresa Privada,10361.81,142489.8,31/07/1970,54,826,Não,31.6,28440.93966710124,36,Sim,91158.95726364762,Não,0.0
Luana Duarte,Aposentado/Pensionista,10060.27,127254.87,16/01/1965,60,769,Não,21.8,8821.045747086682,48,Não,0.0,Sim,8821.05
Enzo Gabriel Freitas,Funcionário Público,7098.26,88716.05,16/09/2006,18,457,Não,0.0,18677.434175587077,36,Não,0.0,Não,0.0
João Miguel Aparecida,Funcionário Público,8466.21,113491.36,29/02/1988,37,530,Sim,19.0,2586.2219836708377,18,Sim,66116.76117625192,Não,0.0
Marcelo Montenegro,Funcionário Público,5575.11,68752.91,08/06/1992,32,595,Não,0.4,24551.096824171236,24,Não,0.0,Sim,21911.85
Lorena Mendonça,Empresário/Autônomo,27886.95,387774.75,21/08/1951,73,647,Não,33.9,72638.40760339078,60,Não,0.0,Sim,70495.57
Sofia da Cruz,Empresário/Autônomo,16284.17,207251.71,27/12/1947,77,361,Sim,10.1,38621.51807349464,24,Não,0.0,Não,0.0
Enzo Gabriel Sousa,Funcionário de Empresa Privada,1822.37,22496.98,21/06/1995,29,465,Sim,11.0,5387.677063738229,6,Não,0.0,Não,0.0
Liz Rocha,Funcionário de Empresa Privada,14721.63,194439.77,17/03/1973,52,430,Sim,7.8,7347.260196421138,18,Não,0.0,Não,0.0
João Felipe Barros,Aposentado/Pensionista,5221.49,71107.87,10/03/1989,36,626,Não,18.0,15403.204380720861,18,Sim,44773.026627884494,Não,0.0
Isabelly Dias,Empresário/Autônomo,2131.46,27374.44,19/09/2005,19,151,Sim,1.0,821.4638633347998,36,Não,0.0,Não,0.0
Rodrigo Cirino,Outros,4581.54,53724.34,06/11/1960,64,620,Não,36.7,23559.881589655255,24,Sim,31612.328128089794,Não,0.0
Maria Pimenta,Empresário/Autônomo,16901.06,232632.01,11/04/2004,21,443,Sim,3.0,60485.896132038164,60,Sim,21694.57634051221,Não,0.0
Laura Moreira,Funcionário de Empresa Privada,5400.05,72039.45,14/09/2005,19,566,Não,1.0,2482.39825457591,48,Não,0.0,Sim,2107.56
Ana Laura Machado,Funcionário de Empresa Privada,17392.44,200674.94,03/05/1968,57,807,Não,25.5,77452.5479489447,36,Não,0.0,Sim,77452.55
Augusto Pacheco,Funcionário Público,8016.12,94312.54,25/02/1998,27,700,Sim,9.0,44901.970547333476,36,Sim,48457.58319765213,Não,0.0
Zoe Guerra,Funcionário Público,8391.79,116130.19,05/03/1991,34,607,Sim,16.0,11214.82689692579,48,Sim,78432.20702131253,Não,0.0
Apollo Silveira,Empresário/Autônomo,17565.97,245633.61,22/05/2005,20,398,Não,2.0,43350.468753061235,18,Sim,195519.1264594012,Não,0.0
Ana Laura Fernandes,Profissional Liberal,15235.71,203492.4,24/07/1978,46,796,Não,22.8,51290.63831490841,24,Não,0.0,Sim,51290.64
João Felipe Montenegro,Aposentado/Pensionista,1871.28,25201.23,22/03/1973,52,593,Sim,34.0,7247.731731067948,12,Sim,9285.704652189283,Não,0.0
João Guilherme Lopes,Funcionário de Empresa Privada,9085.49,126934.07,01/10/1981,43,649,Não,19.8,56730.38142886388,36,Sim,93366.20145305134,Não,0.0
Hellena Dias,Funcionário Público,10765.8,129943.4,25/06/1950,74,564,Não,24.3,52614.63918806193,12,Não,0.0,Sim,44511.98
Dra. Maya Moraes,Funcionário de Empresa Privada,10629.39,129184.48,02/06/1970,55,511,Não,0.5,24195.523262092738,6,Não,0.0,Sim,18545.87
Augusto Albuquerque,Outros,4990.62,65180.19,14/01/1952,73,417,Não,8.8,19023.709625405092,60,Não,0.0,Não,0.0
Lucca Fonseca,Funcionário de Empresa Privada,8565.69,114041.36,20/11/2002,22,704,Não,4.0,2143.4889605536746,24,Não,0.0,Sim,2143.49
Sofia Novaes,Aposentado/Pensionista,2952.7,40527.67,06/10/2006,18,681,Não,0.0,16635.185586354437,12,Não,0.0,Sim,16635.19
Dra. Maria Liz Marques,Profissional Liberal,25031.55,319365.78,01/01/1978,47,532,Não,20.3,21201.249645385313,12,Não,0.0,Sim,16918.6
Hadassa da Paz,Aposentado/Pensionista,2656.63,36309.81,04/11/2000,24,673,Não,0.4,13187.38032994723,48,Sim,11752.42741551643,Não,0.0
Vicente Costela,Empresário/Autônomo,20755.22,247874.45,07/12/1964,60,487,Não,31.7,35889.689749746576,6,Sim,168011.5563253832,Não,0.0
Bento Vargas,Funcionário de Empresa Privada,14664.96,186953.05,15/09/1957,67,685,Não,16.5,1119.9947525920052,6,Sim,37973.769836902495,Sim,1119.99
Gabriel Silveira,Empresário/Autônomo,13275.26,173566.43,26/06/1987,37,701,Sim,15.4,29545.8691961712,18,Não,0.0,Sim,29545.87
Sr. Rodrigo Vieira,Funcionário de Empresa Privada,10380.13,135799.76,10/06/1981,43,590,Sim,22.3,25083.03581157896,6,Sim,49621.33503452557,Não,0.0
Aylla Cunha,Funcionário Público,8063.41,97569.67,22/01/2005,20,466,Não,2.0,47631.88508981541,24,Não,0.0,Não,0.0
Rafael Cirino,Estudante,1937.1,22334.16,27/01/1949,76,463,Não,15.2,1869.7495077005165,24,Sim,1657.4813730926644,Não,0.0
Srta. Ester Pastor,Aposentado/Pensionista,12334.9,152024.52,11/10/1957,67,786,Não,35.0,15458.73452856365,18,Não,0.0,Sim,15458.73
Pedro Henrique Souza,Aposentado/Pensionista,1031.95,13838.43,08/12/2004,20,400,Sim,2.0,1636.043026474767,18,Não,0.0,Não,0.0
Gustavo Henrique Pastor,Empresário/Autônomo,10816.77,138435.97,12/08/1999,25,391,Não,7.0,6290.647598429412,60,Sim,15832.888093036987,Não,0.0
Sophie Ferreira,Profissional Liberal,23331.54,272140.53,04/05/1986,39,639,Não,2.6,97370.68257886924,24,Não,0.0,Sim,93329.8
Felipe Aragão,Funcionário Público,4149.88,50765.71,25/07/1956,68,603,Não,9.8,5455.834173989755,6,Não,0.0,Sim,4934.8
Bernardo Fogaça,Funcionário Público,7173.08,94813.9,25/10/2000,24,773,Não,6.0,25734.1909035239,18,Não,0.0,Sim,25734.19
Arthur Gabriel Aparecida,Empresário/Autônomo,17122.42,209213.94,10/09/1974,50,598,Sim,5.9,46364.8429080874,12,Não,0.0,Sim,41589.26
Raquel Carvalho,Funcionário de Empresa Privada,14793.1,178178.4,14/11/1972,52,541,Sim,34.0,16991.27134409745,18,Não,0.0,Sim,13788.42
Igor Santos,Profissional Liberal,13064.21,160600.74,09/01/1990,35,498,Não,9.4,1005.6260908607785,60,Não,0.0,Não,0.0
Kaique Martins,Funcionário de Empresa Privada,1196.02,15355.28,26/04/1997,28,429,Não,10.0,1450.7898400206516,48,Não,0.0,Não,0.0
Nathan Brito,Funcionário de Empresa Privada,6135.91,80476.99,29/10/1953,71,474,Sim,6.2,1654.5677450317014,18,Não,0.0,Não,0.0
Dr. Luiz Fernando Mendes,Funcionário de Empresa Privada,6018.35,83131.58,01/12/2000,24,441,Não,6.0,23386.246079733235,12,Sim,62250.76199577517,Não,0.0
Vinicius Viana,Funcionário Público,4874.33,64939.03,02/04/1983,42,672,Não,24.0,30499.155746445504,24,Não,0.0,Sim,30499.16
Joaquim Campos,Funcionário de Empresa Privada,2585.2,33840.43,07/06/1981,43,449,Sim,19.0,5175.532364792789,36,Não,0.0,Não,0.0
Kevin Araújo,Profissional Liberal,10697.82,126907.42,24/02/2001,24,573,Não,6.0,25684.511168573747,48,Não,0.0,Sim,22075.84
Rhavi Macedo,Aposentado/Pensionista,4469.19,58977.14,14/05/1980,45,359,Sim,19.1,20237.585509381366,12,Sim,19831.37576086366,Não,0.0
Vinicius Martins,Funcionário de Empresa Privada,13128.05,174647.3,02/05/1969,56,795,Não,7.6,80655.27041435051,48,Não,0.0,Sim,80655.27
Sra. Mariana Silveira,Funcionário de Empresa Privada,4476.61,61297.21,31/12/1983,41,406,Não,12.6,19802.689770368346,24,Não,0.0,Não,0.0
Maria Liz Lopes,Funcionário Público,17476.21,215764.63,09/12/1944,80,702,Não,30.1,95643.43625384457,12,Não,0.0,Sim,95643.44
Sofia Caldeira,Funcionário de Empresa Privada,1177.28,15842.05,24/02/2005,20,199,Sim,2.0,7397.07657536295,12,Não,0.0,Não,0.0
Manuella Viana,Outros,3251.81,38143.31,06/05/1982,43,391,Não,25.0,9830.12584677315,18,Não,0.0,Não,0.0
Anthony Gabriel Oliveira,Funcionário de Empresa Privada,6463.82,82321.61,25/07/1984,40,718,Não,0.4,37759.30056494949,60,Sim,23216.63130548037,Não,0.0
Lucas Gabriel Camargo,Empresário/Autônomo,29249.04,386351.44,14/02/1959,66,765,Não,19.3,34595.77775739334,24,Não,0.0,Sim,34595.78
João Guilherme Câmara,Funcionário de Empresa Privada,6997.26,92908.82,14/10/2001,23,693,Não,5.0,12926.2504617621,12,Não,0.0,Sim,12926.25
Emanuel Cavalcante,Empresário/Autônomo,21550.94,271834.65,25/07/1972,52,522,Não,27.1,52725.86125610872,18,Não,0.0,Sim,41284.35
Julia Oliveira,Empresário/Autônomo,21515.63,292608.06,30/04/1981,44,420,Não,4.1,60435.13389770423,12,Sim,181253.79708344062,Não,0.0
Marcelo Cassiano,Desempregado,452.84,5752.93,30/07/1974,50,431,Não,13.8,1369.3031566628013,24,Não,0.0,Não,0.0
Lorenzo Nunes,Outros,7428.47,92202.22,26/02/1954,71,602,Não,30.0,22774.157931067315,18,Sim,64639.411014625184,Não,0.0
Dr. Otto Nascimento,Funcionário de Empresa Privada,3390.93,43921.96,07/03/2007,18,477,Não,0.0,4419.423087709847,60,Sim,15415.580779955786,Não,0.0
Caleb da Paz,Funcionário de Empresa Privada,13824.41,180167.93,31/08/1951,73,366,Sim,1.6,49811.347219737785,36,Não,0.0,Não,0.0
Antonella Ferreira,Funcionário de Empresa Privada,3530.9,46724.41,12/07/1986,38,442,Não,1.7,7916.031789911757,36,Não,0.0,Não,0.0
Srta. Antonella Montenegro,Profissional Liberal,29380.82,383472.8,14/12/1953,71,731,Não,24.3,40930.383446309024,36,Não,0.0,Sim,40930.38
Dra. Ana Julia Souza,Desempregado,38.03,512.1,25/09/1946,78,545,Não,4.2,469.8109775244985,6,Não,0.0,Sim,273.82
Nicolas Silveira,Funcionário de Empresa Privada,3679.85,46707.62,01/02/1980,45,613,Não,0.3,10036.351962416178,12,Sim,27542.005185333644,Não,0.0
Thiago Viana,Funcionário de Empresa Privada,6978.85,83786.16,17/08/2000,24,811,Não,6.0,30301.451005745876,36,Não,0.0,Sim,30301.45
Bella da Cunha,Aposentado/Pensionista,6340.88,74381.29,15/10/1985,39,717,Não,12.3,18589.01801459008,36,Sim,46703.28224950652,Não,0.0
Mariah Castro,Funcionário de Empresa Privada,4430.64,53027.32,18/10/1977,47,427,Não,29.0,9078.669434512469,48,Não,0.0,Não,0.0
João Abreu,Profissional Liberal,8994.1,105829.15,12/12/1959,65,686,Não,35.1,28496.97067349933,48,Não,0.0,Sim,28496.97
Emanuella Araújo,Funcionário de Empresa Privada,4244.91,56809.3,17/10/1957,67,428,Não,15.3,1891.6427948484852,6,Não,0.0,Não,0.0
Milena Camargo,Profissional Liberal,16711.68,226771.98,18/08/1970,54,485,Não,32.8,94793.79932795752,48,Sim,56943.8795514409,Não,0.0
Leandro Montenegro,Funcionário de Empresa Privada,12748.6,163795.37,15/08/1947,77,539,Sim,2.7,68487.6672741504,6,Não,0.0,Sim,55372.28
Srta. Ayla Pires,Funcionário Público,8097.85,94906.21,20/06/2006,18,477,Não,0.0,41138.31674776044,6,Sim,56526.37671951293,Não,0.0
Dra. Ísis Fogaça,Funcionário de Empresa Privada,6464.21,90266.76,27/01/1977,48,624,Não,14.8,33298.98815933006,60,Sim,36826.903362193196,Não,0.0
Yan Castro,Funcionário de Empresa Privada,3920.84,47069.48,12/05/1963,62,599,Não,11.8,9578.090974673267,60,Não,0.0,Sim,8605.91
Bruna Montenegro,Profissional Liberal,24195.14,330910.04,26/08/1978,46,671,Não,12.0,728.3734844611799,18,Não,0.0,Sim,728.37
Nathan Ribeiro,Funcionário Público,3458.98,41486.62,29/09/1997,27,555,Sim,9.0,19348.612386639605,12,Não,0.0,Sim,16107.72
Dr. Vinicius Barbosa,Outros,5616.41,72138.77,25/03/1970,55,771,Não,6.5,4039.476703302334,6,Sim,18411.765018771763,Sim,3614.62
Benjamin Caldeira,Estudante,1256.26,16930.91,21/09/1985,39,616,Não,21.0,2374.523594368744,6,Não,0.0,Sim,2194.06
Raul Cavalcante,Funcionário Público,11374.78,157879.66,06/06/1964,60,414,Sim,5.1,38959.64946479273,6,Não,0.0,Não,0.0
Maria Laura Caldeira,Funcionário de Empresa Privada,9340.28,112965.24,09/12/1995,29,765,Não,11.0,56159.48014005456,12,Não,0.0,Sim,56159.48
Noah Melo,Profissional Liberal,6487.38,90110.85,06/07/1994,30,358,Não,12.0,28845.293761686742,48,Sim,64489.12468462375,Não,0.0
Cauê Ramos,Funcionário Público,6548.34,83705.44,16/02/1988,37,599,Não,14.3,16397.863963764325,24,Sim,46224.20374687514,Não,0.0
